Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Denvergov,Chrome 64.0.3282.186,,2018-10-29 07:42:26,2018-10-29 07:54:47,12m - 21.054s,INCOMPLETE
,,,,,,
Test Cases/Denvergov/Denvergov - ArtsVenues-EventSettlement,Chrome 64.0.3282.186,,2018-10-29 07:43:21,2018-10-29 07:43:38,17.039s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:43:32,2018-10-29 07:43:36,4.065s,PASSED
waitForElementPresent,Chrome 64.0.3282.186,,2018-10-29 07:43:36,2018-10-29 07:43:37,0.990s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:43:37,2018-10-29 07:43:38,0.635s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - pocketgov,Chrome 64.0.3282.186,,2018-10-29 07:43:38,2018-10-29 07:43:51,13.098s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:43:49,2018-10-29 07:43:50,0.976s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:43:50,2018-10-29 07:43:50,0.508s,PASSED
waitForElementPresent,Chrome 64.0.3282.186,,2018-10-29 07:43:50,2018-10-29 07:43:51,0.174s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-10-29 07:43:51,2018-10-29 07:43:51,0.582s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Checkbook,Chrome 64.0.3282.186,,2018-10-29 07:43:51,2018-10-29 07:44:10,19.233s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:44:02,2018-10-29 07:44:03,1.261s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:44:03,2018-10-29 07:44:10,6.688s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:44:10,2018-10-29 07:44:10,0.199s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:44:10,2018-10-29 07:44:10,0.154s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Transparency,Chrome 64.0.3282.186,,2018-10-29 07:44:10,2018-10-29 07:44:29,18.519s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:44:21,2018-10-29 07:44:22,0.855s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-10-29 07:44:22,2018-10-29 07:44:23,0.821s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:44:23,2018-10-29 07:44:23,0.143s,PASSED
delay,Chrome 64.0.3282.186,,2018-10-29 07:44:23,2018-10-29 07:44:27,3.780s,PASSED
switchToWindowUrl,Chrome 64.0.3282.186,,2018-10-29 07:44:27,2018-10-29 07:44:28,1.617s,PASSED
closeWindowIndex,Chrome 64.0.3282.186,,2018-10-29 07:44:28,2018-10-29 07:44:29,0.280s,PASSED
switchToWindowIndex,Chrome 64.0.3282.186,,2018-10-29 07:44:29,2018-10-29 07:44:29,0.213s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - ContractorLicenses,Chrome 64.0.3282.186,,2018-10-29 07:44:29,2018-10-29 07:44:44,15.213s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:44:40,2018-10-29 07:44:40,0.413s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:44:40,2018-10-29 07:44:41,0.321s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:44:41,2018-10-29 07:44:41,0.126s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.186,,2018-10-29 07:44:41,2018-10-29 07:44:44,3.441s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:44:44,2018-10-29 07:44:44,0.138s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - VoterList,Chrome 64.0.3282.186,,2018-10-29 07:44:44,2018-10-29 07:44:57,12.594s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:44:55,2018-10-29 07:44:57,1.650s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:44:57,2018-10-29 07:44:57,0.265s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - RecyclingSignup,Chrome 64.0.3282.186,,2018-10-29 07:44:57,2018-10-29 07:45:11,13.542s,FAILED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:45:08,2018-10-29 07:45:09,1.705s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:45:09,2018-10-29 07:45:10,0.250s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-10-29 07:45:10,2018-10-29 07:45:11,0.915s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - CampaignFinanceReports,Chrome 64.0.3282.186,,2018-10-29 07:45:11,2018-10-29 07:46:04,53.682s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-10-29 07:45:21,2018-10-29 07:45:26,4.403s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:45:26,2018-10-29 07:45:27,1.286s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:45:27,2018-10-29 07:45:27,0.281s,PASSED
waitForElementPresent,Chrome 64.0.3282.186,,2018-10-29 07:45:27,2018-10-29 07:45:33,5.470s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Denver Elections Division  Cam/NumberOfResults), ""value"")",Chrome 64.0.3282.186,,2018-10-29 07:45:33,2018-10-29 07:46:04,31.479s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - LandSurveyPlats,Chrome 64.0.3282.186,,2018-10-29 07:46:04,2018-10-29 07:46:17,12.962s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:46:15,2018-10-29 07:46:16,0.678s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-10-29 07:46:16,2018-10-29 07:46:17,0.511s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:46:17,2018-10-29 07:46:17,0.658s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - City Attorney Search,Chrome 64.0.3282.186,,2018-10-29 07:46:17,2018-10-29 07:46:39,21.803s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-10-29 07:46:28,2018-10-29 07:46:33,4.382s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:46:33,2018-10-29 07:46:35,2.469s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:46:35,2018-10-29 07:46:36,1.258s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:46:36,2018-10-29 07:46:39,2.691s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CityContracts,Chrome 64.0.3282.186,,2018-10-29 07:46:39,2018-10-29 07:46:51,12.059s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:46:50,2018-10-29 07:46:51,0.733s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:46:51,2018-10-29 07:46:51,0.198s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Denver8Schedule,Chrome 64.0.3282.186,,2018-10-29 07:46:51,2018-10-29 07:47:06,14.311s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:47:02,2018-10-29 07:47:05,2.676s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:47:05,2018-10-29 07:47:06,0.623s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - RecyclingAdmin,Chrome 64.0.3282.186,,2018-10-29 07:47:06,2018-10-29 07:47:19,13.535s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:47:17,2018-10-29 07:47:19,2.180s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:47:19,2018-10-29 07:47:19,0.186s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - OpenDataCatalog,Chrome 64.0.3282.186,,2018-10-29 07:47:19,2018-10-29 07:47:32,12.591s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:47:30,2018-10-29 07:47:31,0.455s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:47:31,2018-10-29 07:47:32,0.843s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:47:32,2018-10-29 07:47:32,0.144s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CSAHearingsFileSearch,Chrome 64.0.3282.186,,2018-10-29 07:47:32,2018-10-29 07:47:48,15.739s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:47:43,2018-10-29 07:47:43,0.274s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:47:43,2018-10-29 07:47:47,3.530s,PASSED
setEncryptedText,Chrome 64.0.3282.186,,2018-10-29 07:47:47,2018-10-29 07:47:47,0.615s,PASSED
click,Chrome 64.0.3282.186,,2018-10-29 07:47:47,2018-10-29 07:47:48,0.138s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - AnimalShelter,Chrome 64.0.3282.186,,2018-10-29 07:47:48,2018-10-29 07:48:00,12.601s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:47:59,2018-10-29 07:47:59,0.721s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:47:59,2018-10-29 07:48:00,0.917s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CampaignFinance,Chrome 64.0.3282.186,,2018-10-29 07:48:00,2018-10-29 07:48:30,29.958s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-10-29 07:48:12,2018-10-29 07:48:12,0.210s,PASSED
setText,Chrome 64.0.3282.186,,2018-10-29 07:48:12,2018-10-29 07:48:12,0.316s,PASSED
setEncryptedText,Chrome 64.0.3282.186,,2018-10-29 07:48:12,2018-10-29 07:48:12,0.209s,PASSED
