Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Denvergov,Chrome 64.0.3282.167,,2018-10-30 12:52:14,2018-10-30 12:55:48,3m - 33.635s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - ArtsVenues-EventSettlement,Chrome 64.0.3282.167,,2018-10-30 12:52:20,2018-10-30 12:52:23,2.367s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-10-30 12:52:20,2018-10-30 12:52:22,1.869s,PASSED
waitForElementPresent,Chrome 64.0.3282.167,,2018-10-30 12:52:22,2018-10-30 12:52:22,0.071s,PASSED
setText,Chrome 64.0.3282.167,,2018-10-30 12:52:22,2018-10-30 12:52:23,0.210s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - pocketgov,Chrome 64.0.3282.167,,2018-10-30 12:52:23,2018-10-30 12:52:25,2.384s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-10-30 12:52:23,2018-10-30 12:52:24,1.662s,PASSED
click,Chrome 64.0.3282.167,,2018-10-30 12:52:24,2018-10-30 12:52:25,0.230s,PASSED
waitForElementPresent,Chrome 64.0.3282.167,,2018-10-30 12:52:25,2018-10-30 12:52:25,0.033s,PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-10-30 12:52:25,2018-10-30 12:52:25,0.296s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Checkbook,Chrome 64.0.3282.167,,2018-10-30 12:52:25,2018-10-30 12:52:38,12.903s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-10-30 12:52:25,2018-10-30 12:52:30,5.182s,PASSED
setText,Chrome 64.0.3282.167,,2018-10-30 12:52:30,2018-10-30 12:52:37,6.813s,PASSED
click,Chrome 64.0.3282.167,,2018-10-30 12:52:37,2018-10-30 12:52:37,0.096s,PASSED
click,Chrome 64.0.3282.167,,2018-10-30 12:52:37,2018-10-30 12:52:38,0.617s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Transparency,Chrome 64.0.3282.167,,2018-10-30 12:52:38,2018-10-30 12:52:46,7.689s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-10-30 12:52:38,2018-10-30 12:52:39,0.738s,PASSED
waitForElementClickable,Chrome 64.0.3282.167,,2018-10-30 12:52:39,2018-10-30 12:52:39,0.084s,PASSED
click,Chrome 64.0.3282.167,,2018-10-30 12:52:39,2018-10-30 12:52:39,0.100s,PASSED
delay,Chrome 64.0.3282.167,,2018-10-30 12:52:39,2018-10-30 12:52:42,3.023s,PASSED
switchToWindowUrl,Chrome 64.0.3282.167,,2018-10-30 12:52:42,2018-10-30 12:52:45,3.409s,PASSED
closeWindowIndex,Chrome 64.0.3282.167,,2018-10-30 12:52:45,2018-10-30 12:52:46,0.081s,PASSED
switchToWindowIndex,Chrome 64.0.3282.167,,2018-10-30 12:52:46,2018-10-30 12:52:46,0.019s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - ContractorLicenses,Chrome 64.0.3282.167,,2018-10-30 12:52:46,2018-10-30 12:52:49,3.162s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-10-30 12:52:46,2018-10-30 12:52:46,0.481s,PASSED
setText,Chrome 64.0.3282.167,,2018-10-30 12:52:46,2018-10-30 12:52:46,0.152s,PASSED
click,Chrome 64.0.3282.167,,2018-10-30 12:52:46,2018-10-30 12:52:46,0.091s,PASSED
waitForElementNotVisible,Chrome 64.0.3282.167,,2018-10-30 12:52:46,2018-10-30 12:52:49,2.174s,PASSED
click,Chrome 64.0.3282.167,,2018-10-30 12:52:49,2018-10-30 12:52:49,0.089s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - VoterList,Chrome 64.0.3282.167,,2018-10-30 12:52:49,2018-10-30 12:52:50,1.715s,PASSED
