Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:45,2018-10-31 08:25:46,0.492s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:25:46,2018-10-31 08:25:46,0.721s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:25:46,2018-10-31 08:25:47,0.208s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CityContracts,Chrome 70.0.3538.77,,2018-10-31 08:25:47,2018-10-31 08:25:48,0.961s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:47,2018-10-31 08:25:47,0.346s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:25:47,2018-10-31 08:25:48,0.103s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Denver8Schedule,Chrome 70.0.3538.77,,2018-10-31 08:25:48,2018-10-31 08:25:51,3.152s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:48,2018-10-31 08:25:50,2.491s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:25:50,2018-10-31 08:25:51,0.465s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - RecyclingAdmin,Chrome 70.0.3538.77,,2018-10-31 08:25:51,2018-10-31 08:25:57,6.371s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:51,2018-10-31 08:25:57,6.046s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:25:57,2018-10-31 08:25:57,0.091s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - OpenDataCatalog,Chrome 70.0.3538.77,,2018-10-31 08:25:57,2018-10-31 08:25:58,1.333s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:57,2018-10-31 08:25:58,0.378s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:25:58,2018-10-31 08:25:58,0.626s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:25:58,2018-10-31 08:25:58,0.109s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CSAHearingsFileSearch,Chrome 70.0.3538.77,,2018-10-31 08:25:58,2018-10-31 08:26:08,9.772s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:25:59,2018-10-31 08:26:00,1.305s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:26:00,2018-10-31 08:26:08,8.004s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-10-31 08:26:08,2018-10-31 08:26:08,0.161s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:26:08,2018-10-31 08:26:08,0.077s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - AnimalShelter,Chrome 70.0.3538.77,,2018-10-31 08:26:08,2018-10-31 08:26:10,2.151s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:26:08,2018-10-31 08:26:09,0.559s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:26:09,2018-10-31 08:26:10,1.367s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CampaignFinance,Chrome 70.0.3538.77,,2018-10-31 08:26:10,2018-10-31 08:26:16,5.435s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:26:11,2018-10-31 08:26:11,0.193s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:26:11,2018-10-31 08:26:11,0.183s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-10-31 08:26:11,2018-10-31 08:26:11,0.098s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:26:11,2018-10-31 08:26:14,2.600s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-10-31 08:26:14,2018-10-31 08:26:16,2.089s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CSAHearingsAppeals,Chrome 70.0.3538.77,,2018-10-31 08:26:16,2018-10-31 08:26:17,1.315s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:26:16,2018-10-31 08:26:17,1.064s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - PlannedBuildingGroups,Chrome 70.0.3538.77,,2018-10-31 08:26:17,2018-10-31 08:26:23,5.749s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:26:17,2018-10-31 08:26:19,1.832s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:26:19,2018-10-31 08:26:19,0.104s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:26:19,2018-10-31 08:26:20,0.388s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:26:20,2018-10-31 08:26:23,3.185s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - eBiz,Chrome 70.0.3538.77,,2018-10-31 08:26:23,2018-10-31 08:26:26,2.748s,PASSED
